SampleName,Sample_short,Site,Date,Time,Tide,Notes,Temperature,Salinity_YSI,Salinity_refractometer,Qubit_ngul,VolToDNAplate,WatertoDNAplate
LL20170311A,LL11A,Lilliwaup,20170311,12:00,Incoming ,"Barnacles, Oysters, Rocky site",8.6,24.7,26,3.13,,
LL20170311B,LL11B,Lilliwaup,20170311,12:00,Incoming ,,8.6,24.7,26,2.63,,
PO20170311A,PO11A,Potlatch,20170311,12:30,Incoming ,Anoxic smell,8.6,19.7,NA,4.4,,
PO20170311B,PO11B,Potlatch,20170311,12:30,Incoming ,Anoxic smell,8.6,19.7,NA,2.82,,
PO20170311C,PO11C,Potlatch,20170311,12:30,Incoming ,Anoxic smell,8.6,19.7,NA,3.12,,
TW20170311A,TW11A,Twanoh,20170311,13:30,Incoming ,,7,14.3,NA,10.2,9.804,10.196
TW20170311B,TW11B,Twanoh,20170311,13:30,Incoming ,,7,14.3,NA,5.9,16.949,
TW20170311C,TW11C,Twanoh,20170311,13:30,Incoming ,,7,14.3,NA,3.61,,
LL20170311D,LL11D,Lilliwaup,20170311,16:00,Outgoing,YSI,8.6,24.3,NA,1.57,,
LL20170311E,LL11E,Lilliwaup,20170311,16:00,Outgoing,,8.6,24.3,NA,1.83,,
LL20170311F,LL11F,Lilliwaup,20170311,16:00,Outgoing,,8.6,24.3,NA,2.18,,
PO20170311D,PO11D,Potlatch,20170311,17:00,Outgoing,Refractometer,8.9,21.4,24,4.39,,
PO20170311E,PO11E,Potlatch,20170311,17:00,Outgoing,,8.9,21.4,24,5.7,,
PO20170311F,PO11F,Potlatch,20170311,17:00,Outgoing,,8.9,21.4,24,4.93,,
TW20170311D,TW11D,Twanoh,20170311,17:45,Outgoing,refractometer,7.7,15.9,19,28,,
TW20170311E,TW11E,Twanoh,20170311,17:45,Outgoing,,7.7,15.9,19,14.6,,
TW20170311F,TW11F,Twanoh,20170311,17:45,Outgoing,,7.7,15.9,19,23,,
LL20170312A,LL12A,Lilliwaup,20170312,09:00,Outgoing,"YSI,refra",8.4,24.2,28,3.08,,
LL20170312B,LL12B,Lilliwaup,20170312,09:00,Outgoing,"YSI,refra",8.4,24.2,28,2.12,,
LL20170312C,LL12C,Lilliwaup,20170312,09:00,Outgoing,"YSI,refra",8.4,24.2,28,0.5,,
PO20170312A,PO12A,Potlatch,20170312,10:00,Outgoing,sal by refractometer; temp from hobo logger at last time point submerged.,9.1,NA,25,2.59,,
PO20170312B,PO12B,Potlatch,20170312,10:00,Outgoing,sal by refractometer; temp from hobo logger at last time point submerged.,9.1,NA,25,2.3,,
PO20170312C,PO12C,Potlatch,20170312,10:00,Outgoing,sal by refractometer; temp from hobo logger at last time point submerged.,9.1,NA,25,2.74,,
TW20170312A,TW12A,Twanoh,20170312,10:30,Outgoing,refractometer,NA,NA,24,2.86,,
TW20170312B,TW12B,Twanoh,20170312,10:30,Outgoing,,NA,NA,24,2.61,,
TW20170312C,TW12C,Twanoh,20170312,10:30,Outgoing,,NA,NA,24,2.84,,
TW20170312D,TW12D,Twanoh,20170312,13:30,Incoming ,refractomter,NA,NA,16,8.33,,
TW20170312E,TW12E,Twanoh,20170312,13:30,Incoming ,,NA,NA,16,8.16,,
TW20170312F,TW12F,Twanoh,20170312,13:30,Incoming ,,NA,NA,16,10.8,,
PO20170312D,PO12D,Potlatch,20170312,14:15,Incoming ,refractometer,9.4,NA,17,2.67,,
PO20170312E,PO12E,Potlatch,20170312,14:15,Incoming ,,9.4,NA,17,2.34,,
PO20170312F,PO12F,Potlatch,20170312,14:15,Incoming ,,9.4,NA,17,3.28,,
LL20170312D,LL12D,Lilliwaup,20170312,14:45,Incoming ,sal by refractometer; temp from hobo logger at last time point submerged.,9.2,NA,22,2.49,,
LL20170312E,LL12E,Lilliwaup,20170312,14:45,Incoming ,sal by refractometer; temp from hobo logger at last time point submerged.,9.2,NA,22,2.04,,
LL20170312F,LL12F,Lilliwaup,20170312,14:45,Incoming ,sal by refractometer; temp from hobo logger at last time point submerged.,9.2,NA,22,2.56,,